scenario,step,record_similarity,identity_path,record_quality,agency,presence,coherence,reciprocity,pointer_stability,debt,drag,free_resource,load,host_fitness,observer_S,boundary_effect,boundary_opportunity,coercion_penalty,B_addr,B_cap,B_act,B_align,B_path,B_scalar,active_spirit_channel
record_only_death,0,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,1,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,2,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,3,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,4,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,5,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,6,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,7,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,8,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,9,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,10,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,11,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,12,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,13,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,14,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,15,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,16,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,17,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,18,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,19,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,20,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,21,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,22,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,23,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,24,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,25,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,26,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,27,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,28,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,29,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,30,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,31,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,32,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,33,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,34,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,35,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,36,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,37,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,38,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,39,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,40,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,41,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,42,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,43,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,44,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,45,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
