scenario,step,x,record_similarity,identity_path,record_quality,agency,P_body,coherence,drag,free_resource,boundary_effect,boundary_opportunity,gamma_spirit,locality_cert,law_cert,noncoerce_cert,agency_compat,forced_order,observer_S,description_phase,B_addr,Lambda_path,Gamma_spirit,Xi_law,Pi_noncoerce,A_compat,gate_spirit,P_spirit_raw,P_spirit,B_body_cap,B_spirit_cap,B_cap_total,B_act_body,B_act_spirit,B_act_total,B_path,active_spirit_participation
frozen_record,0,0.0,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,1,0.0041841004184100415,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,2,0.008368200836820083,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,3,0.012552301255230125,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,4,0.016736401673640166,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,5,0.02092050209205021,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,6,0.02510460251046025,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,7,0.029288702928870293,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,8,0.03347280334728033,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,9,0.03765690376569038,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,10,0.04184100418410042,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,11,0.04602510460251046,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,12,0.0502092050209205,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,13,0.05439330543933055,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,14,0.058577405857740586,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,15,0.06276150627615062,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,16,0.06694560669456066,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,17,0.07112970711297072,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,18,0.07531380753138076,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,19,0.0794979079497908,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,20,0.08368200836820083,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,21,0.08786610878661087,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
