t,name,C,q,a,F,H,work_lawfulness,work_record_intensity,work_fidelity,kingdom_lawfulness,kingdom_record_intensity,kingdom_fidelity,kingdom_overlap,ai_consolidation,ai_governance,ai_fidelity,ai_opacity,digital_work_record,digital_kingdom_record,ai_consolidated_record,P_ref,P,K,O,work_benefit,work_cost,kingdom_benefit,kingdom_cost,kingdom_presence_lift,grace_coherence,grace_relief,work_to_kingdom_bleed,kingdom_to_work_bleed,ai_audit,ai_scale,ai_false,ai_context_loss,ai_net,future_tension,benefit,cost,net,dF,dq,dC,dH
0,Oppressive work recording with weak Kingdom channel,0.5475801680210655,0.2576840407658396,0.82,0.9840744696891451,0.3632207307628282,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,0.7200000000000001,0.25760000000000005,0.57717504,0.24615384615384617,0.24615384615384617,0.4954999939062502,0.3566999999999999,0.00257427907861645,0.0569530712622628,0.006754145552932938,0.0062809967054538365,0.010016484016015443,7.572461916107675e-05,0.0003505769405605405,0.016836121209600003,0.00019872704287774638,0.0002245782067555087,0.028362896245184812,0.013501676599311629,0.005429163801600001,-0.04706915843934093,0.0008687600857007378,0.010242537597967399,0.12823268590911382,-0.11799014831114643,-0.06592553031085487,0.007684040765839633,-0.03241983197893446,0.0632207307628282
1,Oppressive work recording with weak Kingdom channel,0.5128689176807212,0.2657502938865888,0.82,0.9172570114817149,0.4267606264325642,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,1.4328000000000003,0.5126240000000001,1.1485783295999998,0.24615384615384617,0.24105611429898913,0.47912561229930845,0.33331154809937114,0.0024447871115439185,0.05813098292270621,0.006414396999324859,0.006369467923152248,0.009050410698805064,7.37025351784873e-05,0.00031871159875137916,0.01839382111401079,0.00017956014826429244,0.0002029180101409526,0.028735111749828124,0.013807032786126468,0.0056265518576148555,-0.04796577838342849,0.0009442869448798744,0.009687079617808673,0.13200725529831858,-0.1223201756805099,-0.06681745820743024,0.008066253120749167,-0.034711250340344287,0.06353989566973597
2,Oppressive work recording with weak Kingdom channel,0.47569076947950184,0.27422992198836293,0.82,0.849514424219316,0.490634263282835,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,2.138472,0.7650977600000001,1.7142675863039998,0.24615384615384617,0.23682871849706075,0.4623840421878534,0.3087905587070537,0.002311960490963091,0.05938062095675263,0.006065899302956495,0.006461845406183494,0.008091618340125943,7.095021839532138e-05,0.0002867751121769107,0.020096440147413408,0.0001605377078680987,0.00018142105889351308,0.02912300321429738,0.014119236454835394,0.0058334980226827675,-0.04889431663292203,0.0010266743808352006,0.009119876329619872,0.13604131858300028,-0.12692144225338042,-0.06774258726239885,0.008479628101774168,-0.03717814820121934,0.06387363685027084
3,Oppressive work recording with weak Kingdom channel,0.4358544420107098,0.28315747685467363,0.82,0.7808082878513914,0.5548580356296684,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,2.8370872800000004,1.0150467824000002,2.27429995044096,0.24615384615384617,0.2334195518828097,0.44517432247082067,0.283098544037134,0.002175476740251081,0.060712440473403045,0.005707806380718022,0.006558810082898699,0.007142270294018577,6.740564835647326e-05,0.00025482504654787864,0.021958808464032052,0.00014170264263332856,0.0001601358572757851,0.0295287986016034,0.01444017036947663,0.006050327116474317,-0.04985916023027857,0.0011167414923956669,0.008539938451542358,0.1403660966002838,-0.13182615814874143,-0.06870613636792457,0.008927554866310678,-0.039836327468792065,0.06422377234683344
4,Oppressive work recording with weak Kingdom channel,0.3931514188687515,0.2925712182903986,0.82,0.711094877860808,0.6194502326716549,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,3.5287164072000006,1.2624963145760002,2.82873199093655,0.24615384615384617,0.23079478047623467,0.4274002491292626,0.2561999783067455,0.0020350661934208716,0.06213765881304486,0.00533941070896054,0.006661064033955836,0.00620558029111313,6.301531000759245e-05,0.00022295662896538684,0.023997375639708954,0.00012311871297568448,0.00013913445989902388,0.029954809992802173,0.014771628582069195,0.006277338960681349,-0.05086464307565369,0.0012154077254961726,0.00794656482829709,0.14501528374775852,-0.13706871891946143,-0.06971340999058337,0.009413741435724963,-0.04270302314195828,0.0645921970419865
5,Oppressive work recording with weak Kingdom channel,0.34735440969091963,0.30251346871524676,0.82,0.640325013595922,0.6844311393444777,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,4.213429243128001,1.5074713514302402,3.377619711027185,0.24615384615384617,0.2289378888441962,0.40896921237834144,0.22806383600773208,0.001890513223008471,0.0636684192396094,0.0049601465451081525,0.006769340170906805,0.0052858590642297565,5.7738889317376375e-05,0.00019130578013015848,0.026230363605701437,0.00010487144383431836,0.00011851351710929939,0.03040346209469209,0.015115338117879663,0.006514795396693272,-0.05191508209215572,0.001323706904574035,0.007339352536089617,0.1500254255300567,-0.1426860729939671,-0.07076986426488605,0.009942250424848125,-0.045797009177831846,0.06498090667282282
6,Oppressive work recording with weak Kingdom channel,0.2982157163522782,0.3130310021764626,0.82,0.568443854563765,0.7498231589398129,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,4.891294950696721,1.749996637915938,3.9210185539169133,0.24615384615384617,0.22784969970034274,0.3897915813272915,0.19866551832026172,0.001741660378728794,0.06531794805625263,0.004569600786264732,0.0068844103484897185,0.004388574640786334,5.155530996692623e-05,0.00016005297218641852,0.02867792129857608,8.706932087320087e-05,9.839562679525532e-05,0.03087731638142786,0.015472970450535686,0.006762904027529199,-0.05301479523269749,0.0014428023857193696,0.00671821912981941,0.15543627294853052,-0.14871805381871112,-0.07188115903215701,0.01051753346121585,-0.0491386933386414,0.06539201959533511
7,Oppressive work recording with weak Kingdom channel,0.2454655236255278,0.32417546503439665,0.82,0.4953906600151882,0.8156509551281514,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,5.562382001189754,1.9900966715367787,4.458983408377744,0.24615384615384617,0.2275494210825782,0.3697806730181965,0.16798926047415735,0.0015884155039780866,0.06710070201862586,0.004167531640807691,0.007007091691320806,0.003520418270854161,4.447033585833129e-05,0.00012942771324727913,0.03136227447653844,6.984509849374656e-05,7.893081255195379e-05,0.03137909026590778,0.01584614207940356,0.007021797900786804,-0.05416809943354619,0.0015740031108912589,0.006083436624870717,0.1612911015434745,-0.1552076649186038,-0.07305319454857678,0.011144462857934,-0.05275019272675044,0.06582779618833855
8,Oppressive work recording with weak Kingdom channel,0.1888101453397111,0.33600382323173805,0.82,0.4210985312161074,0.8819416102250757,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,6.226758181177856,2.227795704821411,4.991568614293967,0.24615384615384617,0.22807689364583955,0.3488534184295297,0.1360311311505347,0.0014307620912142544,0.06903249783413423,0.0037538957978376954,0.007138250521904514,0.0026893655161002628,3.652594202646493e-05,9.971337132202701e-05,0.03430786095207344,5.3357011839429215e-05,6.029789334762605e-05,0.031911669616245655,0.016236402109680952,0.0072915101950362425,-0.05537928402761522,0.0017187800399671531,0.005435677282786436,0.1676369712690422,-0.16220129398625577,-0.07429212879908079,0.011828358197341422,-0.05665537828581668,0.06629065509692424
9,Oppressive work recording with weak Kingdom channel,0.12793027326308656,0.34857882747586644,0.82,0.3454941637268233,0.9487247947482794,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,6.884490599366077,2.4631177477731967,5.518827968151028,0.24615384615384617,0.22949636763799058,0.32693193840898527,0.102802756005315,0.001268773358141327,0.0711306078670275,0.0033288853589159857,0.007278802715539126,0.0019047178273837746,2.7811579996157498e-05,7.125188838774644e-05,0.037541437103675614,3.778960169529409e-05,4.2705415729226996e-05,0.032478111406715984,0.016645202863754822,0.0075719427949498316,-0.056652551649691414,0.0018787819346475533,0.004776071672452953,0.17452488668631042,-0.16974881501385747,-0.07560436748928415,0.012575004244128392,-0.06087987207662454,0.06678318452320375
