t,name,C,q,a,F,H,lawfulness,record_intensity,fidelity,digital_record,P_ref,P,K,O,benefit,cost,net,dF,dq,dC,dH
0,Kingdom-aligned transparent recording,0.9246809853482342,0.04,0.96,1.6001643759617257,0.07666851952750463,0.95,0.45,0.94,0.423,0.3287310979618671,0.3287310979618671,0.7019999954370002,0.847872,0.023175060264056684,0.007174602023038587,0.016000458241018096,0.00016437596172555843,0.0,0.004680985348234135,-0.003331480472495376
1,Kingdom-aligned transparent recording,0.9294035568900836,0.04,0.96,1.600346307757782,0.07332442315367547,0.95,0.45,0.94,0.8417699999999999,0.3287310979618671,0.3297274279572823,0.7040929656719603,0.8521859960969325,0.023286511096707485,0.00716325547704545,0.016123255619662033,0.00018193179605640404,0.0,0.004722571541849404,-0.0033440963738291577
2,Kingdom-aligned transparent recording,0.9341682279824844,0.04,0.96,1.6005459474920536,0.06996760157424585,0.95,0.45,0.94,1.2563522999999999,0.3287310979618671,0.3307316000360607,0.7062040694172157,0.856538318029901,0.02339908949057439,0.007151821619717116,0.016247267870857274,0.0001996397342716059,0.0,0.004764671092400897,-0.0033568215794296205
3,Kingdom-aligned transparent recording,0.9389755204850294,0.04,0.96,1.600763449251962,0.06659794405954765,0.95,0.45,0.94,1.6667887769999998,0.3287310979618671,0.3317437386739669,0.7083335431459835,0.8609294389086576,0.023512811707880252,0.0071402994674246816,0.01637251224045557,0.00021750175990850997,0.0,0.004807292502545019,-0.0033696575146982
4,Kingdom-aligned transparent recording,0.943825964939573,0.04,0.96,1.6009989691443065,0.06321533842875604,0.95,0.45,0.94,2.0731208892299997,0.3287310979618671,0.3327639711888772,0.7104816276042663,0.8653598396790031,0.023627694323982595,0.00712868802121008,0.016499006302772515,0.00023551989234458565,0.0,0.004850444454543632,-0.003382605630791614
5,Kingdom-aligned transparent recording,0.9487201007544913,0.04,0.96,1.6012526653319434,0.05981967102353084,0.95,0.45,0.94,2.4753896803377,0.3287310979618671,0.33379242782237417,0.7126485679109456,0.8698300092883104,0.02374375423498687,0.007116986266472849,0.01662676796851402,0.0002536961876370117,0.0,0.004894135814918316,-0.003395667405225201
6,Kingdom-aligned transparent recording,0.9536584763937399,0.04,0.96,1.6015246980713302,0.05641082668103701,0.95,0.45,0.94,2.873635783534323,0.3287310979618671,0.33482924182416157,0.7148346136607908,0.8743404448553391,0.023861008665584847,0.007105193172648781,0.016755815492936067,0.00027203273938671387,0.0,0.004938375639248645,-0.00340884434249383
7,Kingdom-aligned transparent recording,0.9586416495708596,0.04,0.96,1.601815229750958,0.05298868870632599,0.95,0.45,0.94,3.2678994256989795,0.3287310979618671,0.3358745495394132,0.7170400190304875,0.8788916518444707,0.02397947517712621,0.007093307692880161,0.016886167484246047,0.0002905316796277302,0.0,0.004983173177119664,-0.0034221379747110194
8,Kingdom-aligned transparent recording,0.9636701874480836,0.04,0.96,1.6021244249307007,0.049553138844059104,0.95,0.45,0.94,3.6582204314419897,0.3287310979618671,0.3369284904991796,0.7192650428877915,0.8834841442445042,0.0240991716759314,0.007081328763677342,0.01701784291225406,0.0003091951797427958,0.0,0.005028537877224023,-0.0034355498622668837
9,Kingdom-aligned transparent recording,0.968744666840708,0.04,0.96,1.6024524503821067,0.04610405724955351,0.95,0.45,0.94,4.04463822712757,0.3287310979618671,0.3379912075139746,0.7215099489039197,0.8881184447521538,0.024220116421854444,0.007069255304571351,0.017150861117283093,0.00032802545140607904,0.0,0.0050744793926244145,-0.0034490815945056002
10,Kingdom-aligned transparent recording,0.9738656744268902,0.04,0.96,1.6027994751296608,0.04264132245913042,0.95,0.45,0.94,4.427191844856294,0.3287310979618671,0.33906284677067416,0.7237750056692953,0.8927950849603964,0.02434232803710456,0.007057086217757257,0.0172852418193473,0.0003470247475540501,0.0,0.00512100758618222,-0.003462734790423093
11,Kingdom-aligned transparent recording,0.9790338069630488,0.04,0.96,1.6031656704930464,0.03916481135974476,0.95,0.45,0.94,4.805919926407731,0.3287310979618671,0.3401435579328669,0.7260604868127666,0.8975146055518219,0.0244658255153359,0.007044820387727965,0.017421005127607934,0.00036619536338548705,0.0,0.005168132536158529,-0.003476511099385652
12,Kingdom-aligned transparent recording,0.9842496715050427,0.04,0.96,1.603551210130438,0.035674399157874494,0.95,0.45,0.94,5.180860727143654,0.3287310979618671,0.3412334942447994,0.7283666711244279,0.9022775564971456,0.024590628231015092,0.007032456680898131,0.017558171550116963,0.0003855396373917016,0.0,0.00521586454199392,-0.0034904122018702684
13,Kingdom-aligned transparent recording,0.9895138856353165,0.04,0.96,1.6039562700828562,0.03216995934764704,0.95,0.45,0.94,5.552052119872217,0.3287310979618671,0.34233281263906773,0.7306938426821711,0.9070844972590473,0.024716755949076647,0.007019993945217868,0.01769676200385878,0.0004050599524180515,0.0,0.005264214130273732,-0.003504439810227455
14,Kingdom-aligned transparent recording,0.9948270776962023,0.04,0.96,1.604381028819614,0.028651363678179633,0.95,0.45,0.94,5.919531598673495,0.3287310979618671,0.34344167384821567,0.7330422909821095,0.9119359970015076,0.024844228834876768,0.007007431009775879,0.01783679782510089,0.00042475873675793484,0.0,0.00531319206088576,-0.0035185956694674093
15,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6048256672848946,0.02511848212010928,0.95,0.45,0.94,6.28333628268676,0.3287310979618671,0.34456024252040446,0.7354123110730127,0.9168326348048199,0.02497306746445653,0.006994766684391661,0.01797830078006487,0.0004446384652804316,0.0,0.005362809333377703,-0.0035328815580703507
16,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6052898114751462,0.021571583438327203,0.95,0.45,0.94,6.643502919859892,0.3287310979618671,0.34568868733932917,0.7377377432345538,0.9216,0.025099070024332013,0.0069823603328542936,0.01811670969147772,0.0004641441902514373,0.0,0.005411429100173822,-0.0035468986817820797
